Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price,Brand,Model
Mumbai,2010,72000,CNG,Manual,First,11.438,998.0,58.16,5.0,1.75,Maruti,R LXI CNG
Pune,2015,41000,Diesel,Manual,First,19.67,1582.0,126.2,5.0,12.5,Hyundai,1.6 CRDi SX Option
Chennai,2011,46000,Petrol,Manual,First,18.2,1199.0,88.7,5.0,4.5,Honda,V
Chennai,2012,87000,Diesel,Manual,First,20.77,1248.0,88.76,7.0,6.0,Maruti,VDI
Coimbatore,2013,40670,Diesel,Automatic,Second,15.2,1968.0,140.8,5.0,17.74,Audi,New 2.0 TDI Multitronic
Hyderabad,2012,75000,LPG,Manual,First,11.394000000000002,814.0,55.2,5.0,2.35,Hyundai,LPG Era Plus Option
Jaipur,2013,86999,Diesel,Manual,First,23.08,1461.0,63.1,5.0,3.5,Nissan,Diesel XV
Mumbai,2016,36000,Diesel,Automatic,First,11.36,2755.0,171.5,8.0,17.5,Toyota,Crysta 2.8 GX AT 8S
Pune,2013,64430,Diesel,Manual,First,20.54,1598.0,103.6,5.0,5.2,Volkswagen,Diesel Comfortline
Chennai,2012,65932,Diesel,Manual,Second,22.3,1248.0,74.0,5.0,1.95,Tata,Vista Quadrajet LS
Kochi,2018,25692,Petrol,Manual,First,21.56,1462.0,103.25,5.0,9.95,Maruti,Zeta
Kolkata,2012,60000,Petrol,Automatic,First,16.8,1497.0,116.3,5.0,4.49,Honda,1.5 V AT Sunroof
Jaipur,2015,64424,Diesel,Manual,First,25.2,1248.0,74.0,5.0,5.6,Maruti,VDI BSIV
Delhi,2014,72000,Diesel,Automatic,First,12.7,2179.0,187.7,5.0,27.0,Land Rover,Range Rover 2.2L Pure
Pune,2012,85000,Diesel,Automatic,Second,,2179.0,115.0,5.0,17.5,Land Rover,Freelander 2 TD4 SE
Delhi,2014,110000,Diesel,Manual,First,13.5,2477.0,175.56,7.0,15.0,Mitsubishi,Sport 4X4
Kochi,2016,58950,Diesel,Manual,First,25.8,1498.0,98.6,5.0,5.4,Honda,S i-Dtech
Jaipur,2017,25000,Diesel,Manual,First,28.4,1248.0,74.0,5.0,5.99,Maruti,DDiS VDI
Kochi,2014,77469,Diesel,Manual,First,20.45,1461.0,83.8,5.0,6.34,Renault,85PS Diesel RxL Plus
Bangalore,2014,78500,Diesel,Automatic,First,14.84,2143.0,167.62,5.0,28.0,Mercedes-Benz,C-Class C 220 CDI BE Avantgare
Kochi,2014,32982,Diesel,Automatic,First,22.69,1995.0,190.0,5.0,18.55,BMW,Series 320d
Bangalore,2015,55392,Diesel,Manual,Second,23.65,1248.0,88.5,5.0,8.25,Maruti,Cross DDiS 200 Alpha
Mumbai,2015,55985,Petrol,Automatic,First,13.53,1984.0,177.01,5.0,23.5,Audi,2011-2015 35 TFSI Technology
Kolkata,2010,45807,Petrol,Manual,First,18.5,1197.0,80.0,5.0,1.87,Hyundai,1.2 Magna
Kolkata,2010,33000,Petrol,Automatic,First,14.4,1598.0,103.6,5.0,2.85,Volkswagen,Petrol Highline AT
Mumbai,2012,51920,Petrol,Manual,First,16.8,1497.0,116.3,5.0,4.25,Honda,Corporate Edition
Hyderabad,2012,54000,Diesel,Manual,First,23.08,1461.0,63.1,5.0,4.25,Nissan,Diesel XV
Hyderabad,2013,54000,Petrol,Manual,Second,20.92,998.0,67.1,5.0,2.75,Maruti,K10 2010-2014 VXI
Kochi,2018,37430,Petrol,Manual,First,17.5,1199.0,88.7,5.0,9.9,Honda,i-VTEC VX
Mumbai,2007,262000,Diesel,Manual,Fourth & Above,12.8,2494.0,102.0,7.0,4.0,Toyota,2.5 V Diesel 7-seater
Bangalore,2013,62000,Diesel,Manual,First,19.01,1461.0,108.45,5.0,7.75,Renault,110PS Diesel RxZ Pack
Delhi,2012,87615,Petrol,Manual,First,14.53,1798.0,138.1,5.0,6.75,Toyota,Altis G
Bangalore,2013,72000,Diesel,Automatic,Second,11.18,2696.0,184.0,7.0,12.5,Mahindra,Rexton RX7
Kolkata,2010,35000,Diesel,Automatic,First,12.4,2698.0,179.5,5.0,11.5,Audi,2.7 TDI
Coimbatore,2014,55431,Petrol,Manual,Second,16.09,1598.0,103.5,5.0,6.98,Volkswagen,1.6 Highline
Jaipur,2009,83816,Petrol,Manual,Second,14.0,1061.0,64.0,5.0,1.85,Maruti,R LXI BSIII
Kochi,2018,50075,Diesel,Manual,First,24.3,1248.0,88.5,5.0,8.63,Maruti,Brezza ZDi Plus
Delhi,2017,52000,Petrol,Manual,First,18.15,1198.0,82.0,5.0,4.85,Mahindra,100 mFALCON G80 K6 5str AW
Pune,2013,85000,Diesel,Automatic,First,11.74,2987.0,254.8,5.0,28.0,Mercedes-Benz,ML 350 CDI
Chennai,2013,62000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,5.0,Volkswagen,Diesel Trendline 1.2L
Delhi,2008,90000,Petrol,Manual,Second,19.7,796.0,46.3,5.0,1.25,Maruti,LXi
Kochi,2014,19698,Petrol,Manual,First,25.4,624.0,37.5,4.0,1.53,Tata,LX SE
Coimbatore,2017,22033,Diesel,Manual,First,25.32,1198.0,77.0,6.0,5.58,Mahindra,100 mFALCON D75 K8 Dual Tone
Kochi,2014,35487,Petrol,Manual,First,18.5,1197.0,82.9,5.0,4.74,Hyundai,Magna Optional 1.2
Bangalore,2014,46374,Petrol,Automatic,First,14.62,1999.0,149.92,5.0,8.85,Hyundai,2.0 SX Option AT
Mumbai,2016,52001,Petrol,Automatic,First,14.28,1798.0,138.03,5.0,10.11,Toyota,Altis G AT
Ahmedabad,2008,58005,Diesel,Manual,Second,14.9,1991.0,112.2,5.0,4.25,Hyundai,CRDi
Bangalore,2012,70704,Petrol,Manual,First,11.25,2694.0,163.7,7.0,10.95,Toyota,Crysta 2.7 GX MT
Jaipur,2014,75000,Diesel,Manual,First,24.4,1120.0,71.0,5.0,3.85,Hyundai,1.1 CRDi S
Jaipur,2012,75800,Diesel,Manual,Second,16.55,2498.0,105.0,6.0,5.5,Mahindra,CRDe AC
Kochi,2015,13648,Diesel,Automatic,First,17.11,1968.0,174.33,5.0,21.43,Audi,2.0 TDI 177 Bhp Premium Plus
Delhi,2014,52000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,4.25,Maruti,LDI
Kolkata,2014,53000,Diesel,Manual,First,17.8,1248.0,75.0,5.0,3.3,Maruti,Ldi BSIV
Delhi,2013,65650,Diesel,Manual,First,28.4,1248.0,74.0,5.0,3.85,Maruti,VDI
Chennai,2015,54000,Petrol,Manual,Third,18.9,1197.0,82.0,5.0,3.6,Hyundai,i10 Sportz
Kolkata,2015,39000,Petrol,Manual,First,15.04,1598.0,103.2,5.0,3.99,Volkswagen,2013-2015 1.6 Comfortline
Kochi,2017,16542,Petrol,Manual,First,25.17,799.0,53.3,5.0,3.3,Renault,RXT
Kolkata,2010,32000,Petrol,Manual,First,20.36,1197.0,78.9,5.0,2.07,Hyundai,Asta
Hyderabad,2010,121812,Diesel,Automatic,First,13.29,1995.0,147.6,5.0,7.75,Nissan,SLX AT
Hyderabad,2010,39300,Petrol,Manual,First,18.2,998.0,67.1,5.0,2.25,Maruti,Estilo VXI BSIII
Mumbai,2017,22000,Diesel,Manual,First,13.68,2393.0,147.8,8.0,16.5,Toyota,Crysta 2.4 GX MT 8S
Bangalore,2010,72000,Diesel,Manual,First,20.0,1399.0,68.0,5.0,2.75,Ford,Diesel Titanium
Delhi,2015,58000,Petrol,Automatic,First,11.74,1796.0,186.0,5.0,26.7,Mercedes-Benz,C-Class C 200 CGI Avantgarde
Pune,2011,65000,Diesel,Manual,Second,15.8,2148.0,170.0,5.0,10.0,Mercedes-Benz,C-Class 200 CDI Classic
Chennai,2016,178000,Diesel,Manual,First,25.0,1396.0,69.0,5.0,2.5,Tata,V2 eLS
Jaipur,2012,65664,Diesel,Automatic,First,16.55,1968.0,140.0,5.0,13.5,Audi,2.0 TDI Multitronic
Mumbai,2007,63000,Petrol,Automatic,Second,16.4,1497.0,78.0,5.0,1.85,Honda,ZX CVT
Coimbatore,2019,15369,Diesel,Automatic,First,,1950.0,194.0,5.0,35.67,Mercedes-Benz,Progressive C 220d
Pune,2016,63000,Diesel,Manual,First,24.52,1248.0,88.5,7.0,8.15,Maruti,SHVS VDI
Mumbai,2018,13000,Diesel,Manual,First,22.1,1396.0,88.7,5.0,10.5,Hyundai,1.4 E Plus Diesel
Mumbai,2008,73000,Petrol,Automatic,First,8.5,4806.0,500.0,5.0,14.5,Porsche,2009-2014 Turbo
Mumbai,2015,55729,Diesel,Manual,First,15.1,2179.0,140.0,7.0,9.65,Mahindra,W8 4WD
Kochi,2012,45178,Petrol,Automatic,First,16.95,1197.0,78.9,5.0,3.48,Hyundai,Sportz 1.2 AT
Kochi,2015,56066,Diesel,Manual,First,19.64,1461.0,108.5,5.0,6.92,Nissan,XV D Pre
Coimbatore,2016,37300,Petrol,Automatic,Second,16.5,1198.0,86.8,5.0,6.46,Honda,VX AT
Delhi,2014,56000,Diesel,Automatic,Second,18.53,1968.0,187.74,5.0,29.5,Audi,2.0 TDI Design Edition
Jaipur,2008,111111,Diesel,Manual,First,17.8,1399.0,,5.0,2.0,Ford,1.4 SXi TDCi
Chennai,2006,230000,Petrol,Manual,Third,12.4,1998.0,132.0,8.0,4.5,Toyota,2.0 G1
Hyderabad,2012,104000,Diesel,Manual,First,12.8,2494.0,102.0,7.0,11.75,Toyota,2.5 VX 7 STR BSIV
Hyderabad,2005,87591,Petrol,Manual,First,,1086.0,,5.0,1.3,Hyundai,Xing XL
Jaipur,2012,95100,Diesel,Manual,First,22.9,1248.0,74.0,5.0,3.75,Maruti,VDI
Pune,2017,70000,Petrol,Manual,First,17.57,1193.0,88.7,5.0,4.5,Tata,Revotron 1.2T XE
Kochi,2016,54944,Petrol,Manual,First,18.0,1198.0,86.7,5.0,4.82,Honda,SX i-VTEC
Hyderabad,2012,70337,Diesel,Manual,First,20.0,1399.0,68.0,5.0,2.8,Ford,Diesel ZXI
Jaipur,2013,99638,Diesel,Manual,First,23.2,1248.0,73.94,5.0,3.11,Maruti,VDi
Delhi,2009,52000,Petrol,Manual,First,17.8,1497.0,117.3,5.0,3.25,Honda,i VTEC E
Delhi,2011,75000,Diesel,Automatic,Second,16.73,1995.0,218.0,5.0,13.9,BMW,Series 2003-2012 525d
Pune,2009,95980,Petrol,Manual,First,20.36,1197.0,78.9,5.0,2.25,Hyundai,Sportz 1.2
Bangalore,2016,16000,Petrol,Manual,First,18.9,1197.0,82.0,5.0,5.75,Hyundai,i10 Sportz
Hyderabad,2007,73745,Petrol,Manual,First,17.0,1086.0,,5.0,2.1,Hyundai,Xing XO
